Number;Event;Gender
02;100Lg;m
04;200K;m
06;100B;m
08;200R;m
10;100S;m
12;50B;m
14;200Lg;m
16;1500K;m
18;50S;m
20;200B;m
22;100R;m
24;200S;m
26;50K;m
28;400Lg;m
30;50R;m
32;400K;m
34;100K;m
00;BREAK;60
36;100Lg;m
38;200K;m
40;100B;m
42;200R;m
44;100S;m
46;50B;m
48;200Lg;m
50;800K;m
52;50S;m
54;200B;m
56;100R;m
58;200S;m
60;50K;m
62;400Lg;m
64;50R;m
66;400K;m
68;100K;m
