Number;Event;Gender
01;100Lg;f
02;100Lg;m
03;200K;f
04;200K;m
05;100B;f
06;100B;m
07;200R;f
08;200R;m
09;100S;f
10;100S;m
11;50B;f
12;50B;m
13;200Lg;f
14;200Lg;m
15;800K;f
16;1500K;m
17;50S;f
18;50S;m
19;200B;f
20;200B;m
21;100R;f
22;100R;m
23;200S;f
24;200S;m
25;50K;f
26;50K;m
27;400Lg;f
28;400Lg;m
29;50R;f
30;50R;m
31;400K;f
32;400K;m
33;100K;f
34;100K;m
