time;points;states
2611;16440;4584
2003;16929;3438
2009;16449;3438
2010;16812;3438
2614;16392;4584
2470;16114;3438
2592;16612;4584
2656;16361;4584
2015;16214;3438
2600;16348;4584
2022;16270;3438
2017;16710;3438
2660;16429;4584
2020;16357;3438
2024;16297;3438
2040;16318;3438
2621;16606;4584
2012;16577;3438
2005;15872;3438
2040;15995;3438
2035;16767;3438
2028;16513;3438
2006;15789;3438
2633;16401;4584
2574;16827;4584
2627;16832;4584
2583;16898;4584
2641;16016;4584
2060;16397;3438
2008;16659;3438
