time;points;states
10004;17085;854600
10008;17132;853000
10008;17083;864000
10021;17077;860400
10010;17107;856800
10026;17079;862600
10012;17066;854200
10010;17108;859600
10007;17119;858400
10004;17148;850000
10001;17089;848200
10019;17075;851800
10004;17064;857600
10024;17126;857400
10007;17109;856000
10025;17113;857400
10003;17097;857400
10014;17050;858800
10007;17179;857600
10007;17142;859000
10017;17099;851000
10003;17099;855400
10027;17092;862000
10021;17085;857000
10006;17145;858800
10016;17094;858400
10011;17067;856400
10001;17123;858000
10018;17103;855400
10013;17069;855800
