run_id;startPoints;endPoints
399;12823;23279
400;11710;23294
401;12487;23279
402;11587;23238
403;12113;23225
404;13067;23258
405;11561;23197
406;13099;23318
407;12192;23208
408;12824;23242
409;11649;23286
410;11043;23295
411;12517;23224
412;13151;23276
413;11351;23282
414;11226;23353
415;12116;23350
416;11172;23291
417;12836;23292
418;12183;23331
419;12374;23113
420;11322;23163
421;11777;23220
422;12315;23204
423;12270;23253
424;12813;23104
425;12429;23271
426;10799;23152
427;11199;23225
428;11390;23237
429;12083;23277
430;11096;23241
431;11264;23158
432;13265;23317
433;12154;23196
434;11126;23281
435;12206;23253
436;11317;23074
437;12373;23227
438;11969;23287
439;12607;23200
440;11335;23233
441;11125;23170
442;11601;23148
443;11985;23307
444;11771;23191
445;11333;23248
446;10891;23141
447;11373;23213
448;11847;23250
449;12085;23352
450;11617;23280
451;12210;23286
452;11570;23208
453;11282;23339
454;11728;23305
455;11530;23262
456;11767;23294
457;13457;23331
458;12957;23187
459;11783;23333
460;12622;23104
461;12094;23211
462;10201;23268
463;11781;23193
464;11875;23258
465;11898;23269
466;11752;23193
467;12268;23117
468;9954;23284
469;11723;23302
470;12924;23236
471;12252;23247
472;12640;23252
473;12801;23232
474;11868;23312
475;11567;23290
476;11818;23250
477;11471;23210
478;12845;23002
479;12061;23312
480;12570;23193
481;13631;23272
482;11757;23313
483;11859;23155
484;12322;23198
485;11313;23192
486;10910;23202
487;12547;23320
488;12067;23308
489;11009;23218
490;11818;23246
491;12991;23176
