time;points;states
30545;16936;56154
30567;16969;56154
30463;16914;56154
30588;17030;56154
30004;16893;55008
30615;16957;56154
30540;16852;56154
30516;16949;56154
30488;17011;56154
30402;16992;56154
30581;16993;56154
30047;16945;55008
30582;17008;56154
30395;16860;56154
30603;16972;56154
30468;16840;56154
30607;16871;56154
30515;16940;56154
30525;16997;56154
30492;16799;56154
30008;16839;55008
30495;16941;56154
30503;17038;56154
30587;16905;56154
30344;17010;56154
30314;16896;56154
30388;16964;56154
30498;16852;56154
30519;16919;56154
30326;17039;56154
