time;points;states
60001;17187;17489935
60000;17217;17578296
60002;17154;17601701
60000;17166;17597589
60001;17181;17538365
60000;17167;17695320
60000;17196;17682885
60000;17187;17546131
60002;17154;17646966
60001;17207;17691644
60002;17181;17604413
60001;17174;17745215
60001;17162;17689972
60001;17190;17637353
60001;17150;17723283
60000;17228;17694608
60001;17183;17702934
60000;17187;17679267
60001;17165;17698696
60001;17222;17707007
60001;17228;17643185
60000;17155;17742978
60000;17165;17716753
60000;17155;17642800
60000;17176;17739168
60000;17160;17728218
60000;17180;17769281
60000;17220;17696434
60001;17150;17709944
60001;17167;17734949
