time;points;states
10619;17033;19482
10548;16977;19482
10004;16913;18336
10014;16803;18336
10596;16928;19482
10006;16882;18336
10096;17036;18336
10601;16839;19482
10583;16902;19482
10007;16780;18336
10531;16459;19482
10614;16998;19482
10042;16985;18336
10557;16716;19482
10548;16995;19482
10613;16750;19482
10568;16795;19482
10037;16881;18336
10507;16677;19482
10034;16880;18336
10583;17033;19482
10076;16868;18336
10623;17015;19482
10563;16884;19482
10599;17048;19482
10544;16856;19482
10025;16909;18336
10093;16873;18336
10551;16724;19482
10009;16811;18336
