time;points;states
30000;17158;8712330
30000;17166;8724595
30000;17145;8730033
30002;17217;8741914
30001;17119;8732951
30000;17180;8719879
30001;17160;8740964
30000;17134;8729545
30003;17152;8733094
30001;17153;8736068
30000;17150;8725542
30000;17182;8743181
30000;17160;8729849
30002;17154;8756786
30000;17220;8740523
30002;17176;8750630
30000;17140;8740305
30000;17183;8752891
30000;17172;8761809
30000;17145;8756179
30001;17181;8749470
30000;17217;8762707
30000;17144;8762450
30000;17217;8748987
30000;17137;8769363
30001;17155;8778746
30001;17155;8771981
30000;17183;8761424
30000;17143;8754675
30001;17157;8770921
