time;points;states
2001;17079;502924
2001;17079;549278
2001;17094;550615
2000;17069;548000
2000;17071;547855
2000;17105;427735
2000;17124;551926
2001;17090;553182
2001;17130;553197
2000;17095;550347
2001;17072;563186
2000;17135;562178
2001;17094;551031
2001;17064;556202
2000;17084;558321
2001;17095;555910
2000;17125;553864
2000;17130;550574
2000;17152;555493
2001;17076;555959
2001;17086;554703
2000;17102;554480
2001;17089;542098
2002;17082;556133
2000;17050;541764
2001;17084;530471
2000;17124;540251
2000;17102;558845
2001;17181;561075
2000;17099;558131
