run_id;startPoints;endPoints
1;12199;19213
2;14326;19136
3;13396;19205
4;15191;19205
5;13443;19155
6;14056;19135
7;10063;19213
8;13361;19213
9;13373;19205
10;13387;19205
11;11072;19136
12;12724;19205
13;14199;19205
14;10045;19135
15;12249;19213
16;12052;19213
17;13964;19205
18;12908;19136
19;11123;19213
20;15649;19213
21;11493;19136
22;12770;19213
23;10324;19135
24;12087;19213
25;12723;19068
26;13962;19135
27;11711;19135
28;13840;19205
29;11248;19213
30;11062;19205
31;12602;19127
32;11972;19136
33;13133;19136
34;13262;19135
35;11045;19213
36;11440;19135
37;13532;19135
38;11706;19205
39;13255;19205
40;13582;19136
41;12908;19136
42;10672;19135
43;12762;19155
44;10758;19135
45;12726;19135
46;12167;19126
47;12086;19205
48;12834;19205
49;11513;19127
50;12449;19205
51;12700;19213
52;14048;19136
53;10562;19135
54;13379;19135
55;12705;19135
56;14385;19136
57;14928;19213
58;11362;19135
59;12134;19205
60;13272;19127
61;15480;19126
62;15929;19205
63;12209;19213
64;12193;19126
65;14334;19127
66;11859;19135
67;12663;19135
68;11922;19213
69;13041;19205
70;13698;19205
71;11466;19213
72;13327;19136
73;11684;19135
74;12396;19164
75;14246;19135
76;10406;19205
77;12864;19135
78;12317;19213
79;14407;19205
80;11977;19135
81;10852;19205
82;11731;19213
83;11396;19205
84;11437;19136
85;13079;19136
86;11877;19136
87;14028;19135
88;12023;19213
89;14522;19213
90;11983;19205
91;13140;19213
92;13914;19127
93;12556;19205
94;9746;19136
95;13470;19213
96;11395;19135
97;12671;19205
98;10587;19213
99;13106;19213
100;10896;19155
101;11786;19213
102;12235;19135
103;12630;19126
104;12596;19213
105;12046;19205
106;12683;19135
107;11779;19213
108;12428;19205
109;11530;19213
110;11545;19136
111;11810;19205
112;12531;19135
113;12718;19205
114;12825;19135
115;11828;19135
116;11603;19126
117;12573;19213
118;10750;19205
119;13904;19213
120;10990;19136
121;12272;19213
122;15579;19213
123;13946;19213
124;11639;19205
125;11425;19213
126;14217;19205
127;12132;19205
128;11587;19136
129;16616;19213
130;12076;19127
131;11555;19164
132;11539;19135
133;12707;19136
134;13418;19213
135;14229;19164
136;12170;19136
137;12121;19213
138;10975;19136
139;13108;19126
140;12809;19213
141;12521;19127
142;12695;19164
143;11345;19205
144;13340;19205
145;12491;19135
146;11427;19127
147;11051;19213
148;13697;19205
149;13204;19135
150;13877;19205
151;11051;19136
152;12010;19205
153;12775;19205
154;12628;19135
155;13236;19136
156;14909;19205
157;14027;19155
158;13854;19127
159;13684;19213
160;12031;19136
161;14434;19205
162;12826;19213
163;10897;19213
164;14824;19136
165;14103;19213
166;9666;19155
167;13000;19136
168;13392;19205
169;10361;19135
170;13285;19205
171;12001;19135
172;12253;19136
