time;points;states
60076;17228;89826075
60079;17228;89928101
60117;17228;90198855
60058;17228;89618824
60062;17228;90155927
60114;17228;90373344
60075;17228;89677501
60055;17228;90242269
60052;17228;90504725
60096;17228;89890614
60074;17228;90467073
60057;17228;90356956
60009;17228;89973553
60027;17228;90229086
60092;17228;90368335
60052;17228;90322844
60103;17228;90397393
60104;17228;90481530
60032;17228;90386279
60107;17228;90220136
60110;17228;90605619
60019;17228;90354916
60079;17228;76880031
60039;17228;90340690
60068;17228;90283832
60012;17228;90113019
60073;17228;90187454
60027;17228;90259135
60033;17228;90357993
60030;17228;90249291
