time;points;states
30001;17144;17516984
30001;17096;17515737
30000;17076;17567871
30000;17073;17528847
30000;17150;17542359
30002;17103;17519736
30000;17094;17533431
30001;17112;17500014
30001;17096;17532161
30002;17106;17532858
30002;17152;17556891
30002;17105;17489021
30000;17174;17561506
30001;17107;17555470
30000;17094;17570560
30000;17077;17568203
30001;17107;17566958
30000;17141;17577958
30001;17124;17570454
30000;17128;17595734
30001;17107;17605047
30001;17155;17594630
30001;17118;17588796
30002;17095;17591114
30002;17143;17585335
30000;17090;17590961
30000;17109;17596413
30001;17135;17597051
30000;17117;17572115
30000;17156;17607205
