time;points;states
10001;17058;5834515
10000;17119;5839299
10000;17091;5819836
10001;17111;5832135
10000;17092;5827006
10000;17076;5836893
10001;17095;5826980
10000;17064;5823832
10000;17130;5835678
10000;17102;5822372
10001;17015;5850702
10000;17075;5831921
10001;17056;5833022
10000;17117;5838126
10001;17045;5834730
10001;17043;5828064
10000;17161;5812969
10001;17151;5833974
10000;17034;5829772
10001;17075;5829150
10000;17063;5823553
10000;17091;5824779
10000;17055;5824742
10002;17059;5820751
10001;17052;5837619
10001;17089;5826572
10001;17062;5827388
10000;17114;5826069
10001;17054;5817833
10000;17042;5824216
