time;points;states
10050;17228;14901113
10025;17228;14924765
10096;17228;15028739
10033;17228;14923227
10129;17228;15122270
10031;17228;14928787
10039;17228;14985907
10045;17228;14903265
10120;17228;15022736
10166;17228;15075236
10018;17228;14891167
10022;17228;14875250
10015;17228;14826515
10059;17228;14941766
10098;17228;14939925
10077;17228;14934829
10002;17228;14833890
10040;17228;14825602
10062;17228;14942061
10028;17228;14887582
10029;17228;14922662
10030;17228;14919117
10013;17228;14889603
10136;17228;15034084
10133;17228;15016855
10012;17228;14873997
10178;17228;15168724
10105;17228;15049126
10085;17228;14963295
10088;17228;14978043
