time;points;iterations
2.132;17113;34
3.523;17113;34
2.964;17113;34
1.862;17113;34
2.177;17113;34
3.361;17113;34
2.136;17113;34
1.994;17113;34
2.196;17113;34
3.746;17113;34
3.152;17113;34
4.409;17113;34
2.403;17113;34
1.941;17113;34
2.439;17113;34
3.168;17113;34
3.895;17113;34
3.624;17113;34
1.907;17113;34
2.140;17113;34
2.256;17113;34
3.497;17113;34
3.274;17113;34
2.760;17113;34
2.403;17113;34
1.923;17113;34
2.018;17113;34
3.020;17113;34
3.598;17113;34
3.297;17113;34
2.722;17113;34
2.503;17113;34
4.537;17113;34
4.273;17113;34
3.529;17113;34
3.350;17113;34
3.623;17113;34
3.357;17113;34
3.512;17113;34
3.275;17113;34
3.508;17113;34
7.644;17113;34
4.817;17113;34
4.655;17113;34
4.718;17113;34
4.809;17113;34
7.507;17113;34
6.429;17113;34
6.485;17113;34
7.029;17113;34
4.983;17113;34
8.212;17113;34
4.908;17113;34
3.057;17113;34
4.247;17113;34
2.550;17113;34
1.727;17113;34
1.800;17113;34
3.010;17113;34
4.403;17113;34
4.184;17113;34
3.138;17113;34
1.966;17113;34
3.498;17113;34
2.710;17113;34
2.449;17113;34
1.794;17113;34
1.729;17113;34
2.089;17113;34
2.208;17113;34
3.153;17113;34
3.297;17113;34
2.425;17113;34
1.779;17113;34
1.863;17113;34
2.367;17113;34
3.406;17113;34
4.176;17113;34
3.780;17113;34
1.958;17113;34
2.300;17113;34
2.305;17113;34
3.593;17113;34
2.996;17113;34
2.604;17113;34
2.027;17113;34
2.985;17113;34
4.334;17113;34
3.253;17113;34
3.175;17113;34
2.146;17113;34
2.425;17113;34
2.772;17113;34
3.875;17113;34
2.815;17113;34
3.415;17113;34
3.217;17113;34
2.584;17113;34
2.651;17113;34
2.659;17113;34
1.704;17113;34
1.668;17113;34
1.717;17113;34
2.207;17113;34
2.512;17113;34
3.196;17113;34
3.155;17113;34
3.290;17113;34
3.477;17113;34
2.937;17113;34
2.486;17113;34
2.162;17113;34
1.694;17113;34
1.637;17113;34
1.736;17113;34
1.700;17113;34
3.458;17113;34
2.892;17113;34
3.501;17113;34
2.736;17113;34
2.084;17113;34
3.596;17113;34
2.610;17113;34
1.719;17113;34
1.688;17113;34
1.635;17113;34
2.646;17113;34
2.125;17113;34
3.570;17113;34
3.590;17113;34
1.944;17113;34
1.758;17113;34
2.209;17113;34
2.802;17113;34
3.932;17113;34
3.286;17113;34
2.283;17113;34
2.142;17113;34
2.216;17113;34
1.815;17113;34
1.719;17113;34
1.701;17113;34
1.750;17113;34
2.003;17113;34
1.663;17113;34
1.650;17113;34
2.017;17113;34
3.146;17113;34
3.604;17113;34
2.530;17113;34
1.814;17113;34
1.793;17113;34
1.847;17113;34
5.569;17113;34
3.640;17113;34
3.553;17113;34
2.180;17113;34
1.836;17113;34
3.025;17113;34
3.360;17113;34
3.502;17113;34
2.244;17113;34
1.979;17113;34
2.625;17113;34
4.047;17113;34
3.181;17113;34
2.716;17113;34
2.365;17113;34
2.118;17113;34
2.962;17113;34
2.261;17113;34
2.001;17113;34
1.742;17113;34
1.781;17113;34
1.869;17113;34
2.013;17113;34
2.733;17113;34
3.783;17113;34
2.285;17113;34
1.902;17113;34
1.989;17113;34
1.685;17113;34
2.087;17113;34
3.971;17113;34
3.696;17113;34
2.274;17113;34
2.588;17113;34
2.476;17113;34
2.091;17113;34
1.669;17113;34
2.707;17113;34
1.762;17113;34
1.758;17113;34
2.185;17113;34
1.922;17113;34
1.706;17113;34
1.913;17113;34
2.508;17113;34
3.948;17113;34
4.157;17113;34
2.354;17113;34
2.480;17113;34
5.775;17113;34
3.321;17113;34
1.816;17113;34
1.759;17113;34
1.711;17113;34
1.660;17113;34
1.727;17113;34
1.673;17113;34
1.673;17113;34
1.739;17113;34
2.133;17113;34
2.021;17113;34
3.670;17113;34
3.313;17113;34
3.232;17113;34
2.142;17113;34
1.909;17113;34
2.356;17113;34
2.359;17113;34
4.008;17113;34
