time;points;iterations
0.776;16753;6
0.824;16777;8
0.777;17035;8
0.493;16791;4
0.892;16873;7
0.735;16663;6
0.698;16811;8
0.759;16746;8
0.604;16939;10
0.574;16707;8
0.354;16481;8
0.448;16788;9
0.529;16876;6
0.445;16971;10
0.258;16777;5
0.366;16788;9
0.407;17043;9
0.374;16767;8
0.252;16906;4
0.453;16559;11
0.318;16776;7
0.307;16791;7
0.287;16785;6
0.337;16841;5
0.480;16937;9
0.463;16798;9
0.596;16963;10
0.463;16882;6
0.279;16689;3
0.630;16929;8
0.528;16879;7
0.805;16666;8
0.516;16725;6
0.300;16649;4
0.329;16921;5
0.710;17012;9
0.360;16501;4
0.315;16810;3
0.725;16563;9
0.594;16763;7
0.403;16779;5
0.302;16730;3
0.475;16726;7
0.553;16799;8
0.659;16932;11
0.430;16808;7
0.314;16764;5
0.247;16505;3
0.443;16676;7
0.427;16690;7
0.809;16902;9
0.527;16909;7
0.893;16761;9
0.683;16773;7
0.688;16985;7
0.726;16815;8
0.380;16692;7
0.408;16775;6
0.429;16648;8
0.319;16876;3
0.493;16589;4
0.930;16823;8
0.801;16949;10
0.560;16830;7
0.789;16740;12
0.845;16971;12
0.497;16714;6
0.510;16922;7
0.617;16730;7
0.499;16880;6
0.377;16710;5
0.201;16670;3
0.239;16758;4
0.226;16806;4
0.234;16891;4
0.889;16628;5
0.447;16703;4
0.721;16733;7
0.360;16718;4
0.728;16747;9
0.424;16838;9
0.417;16862;7
0.509;16931;11
0.640;16891;13
0.567;16755;11
0.474;16929;10
0.244;16594;5
0.342;16547;5
0.150;16852;3
0.381;16843;6
0.541;16897;10
0.335;16850;6
0.295;16816;6
0.442;16895;7
0.784;16571;10
0.658;16760;10
0.325;16810;5
0.627;16825;9
0.562;16874;7
0.932;16971;10
0.407;16854;4
0.668;16751;9
0.117;16683;2
0.293;16732;7
0.438;16803;9
0.514;16990;6
0.552;16734;6
0.794;16679;8
0.168;16771;1
0.287;16689;3
0.733;16753;9
0.832;16830;10
0.296;16731;5
0.426;16952;9
0.423;16834;8
0.464;16652;8
0.382;16727;7
0.562;16775;12
0.237;16764;5
0.353;16678;7
0.289;16838;4
0.509;16779;9
0.509;16900;6
0.336;16780;4
0.458;16803;6
0.292;16849;6
0.561;16962;11
0.543;16784;8
0.703;16836;10
0.621;16957;7
0.481;16856;5
0.550;16975;7
0.620;16808;8
0.322;16707;4
0.336;16655;4
0.363;16779;4
0.364;16862;4
0.735;16944;9
0.418;16865;5
0.525;17073;6
0.458;16815;5
0.802;16874;9
0.652;16879;8
0.250;16647;2
0.909;16967;10
0.621;16721;7
1.008;16677;10
0.395;16779;4
0.234;16510;3
0.602;16785;8
0.231;16763;4
0.252;16852;4
0.125;16683;2
0.253;16701;4
0.506;16876;8
1.355;16655;6
0.314;16844;6
0.370;16805;7
0.298;16622;5
0.414;16755;8
0.317;16591;6
0.159;16845;3
0.266;17017;6
0.799;16737;7
0.476;16650;6
0.378;16862;5
0.527;16903;7
0.523;16779;6
0.714;16609;8
0.725;16943;9
0.755;16587;9
0.540;16789;6
0.609;16773;6
0.553;16728;6
0.656;16628;8
0.384;16592;4
1.497;16936;8
0.515;16769;9
0.262;16795;4
0.406;16812;5
0.323;16864;4
0.331;16820;5
0.567;16754;11
0.377;16806;8
0.385;16838;9
0.316;16908;7
0.369;16663;9
0.351;16873;7
0.289;16895;6
0.726;16942;12
0.512;16999;11
0.244;16840;5
0.268;16673;6
0.188;16613;4
0.366;16869;8
0.580;16728;9
0.581;16745;8
0.375;16778;5
0.693;16864;9
0.801;16903;11
0.790;16860;9
0.736;16822;8
0.482;16678;5
0.798;16761;8
0.336;16855;3
0.715;16650;8
0.751;16964;11
0.258;16930;4
0.375;16721;5
0.618;16776;8
0.460;16917;6
0.439;16674;7
0.603;16862;10
0.398;16799;7
0.211;16576;4
0.163;16654;3
0.203;16896;4
0.334;16700;6
0.356;16875;8
0.286;16801;6
0.177;16736;3
0.286;16875;6
0.289;16775;6
0.357;16860;7
0.406;16814;9
0.341;16921;8
0.344;16817;8
0.251;16861;5
0.590;16804;13
0.392;16623;6
0.430;16872;5
0.367;16784;5
0.206;16713;2
0.484;16772;6
0.753;16966;9
0.591;16770;6
0.641;16889;7
0.429;16784;4
0.785;17006;9
0.600;16675;7
0.384;16642;4
1.581;16795;7
0.683;16897;7
0.393;16725;5
0.349;16730;8
0.248;16613;5
0.387;16796;9
0.374;16780;6
0.357;16513;6
0.339;16406;4
1.019;16741;9
1.002;16791;9
0.870;16900;8
0.937;16677;10
0.675;16712;8
0.225;16771;3
0.110;16606;1
0.327;16797;4
0.445;16893;8
0.716;16799;9
0.203;16768;2
0.454;16929;8
0.356;16893;6
0.386;16603;8
0.404;16994;8
0.316;16980;7
0.227;16597;4
0.333;16926;8
0.216;16674;5
0.262;16673;6
