time;points;states
5002;17228;7045029
5174;17228;7283571
5088;17228;7180125
5019;17228;7058795
5075;17228;7227153
5028;17228;6179613
5070;17228;6929918
5096;17228;7402540
5084;17228;7431364
5132;17228;7550464
5114;17228;7527863
5027;17228;7381981
5043;17228;7505333
5096;17228;7500741
5003;17228;7356661
5049;17228;7497231
5085;17228;7542488
5132;17228;7611330
5058;17228;7563707
5006;17228;7430487
5092;17228;7461523
5047;17228;7460169
5006;17228;7406074
5046;17228;7463018
5030;17228;7412950
5109;17228;7581156
5049;17228;7463394
5042;17228;7484176
5055;17228;7527324
5079;17228;7481605
