time;points;states
30020;17228;44576961
30041;17228;44598582
30059;17228;44772577
30050;17228;44853182
30002;17228;44602631
30071;17228;44583703
30157;17228;45049194
30042;17228;44659055
30002;17228;44656685
30227;17228;45037277
30014;17228;44768121
30083;17228;44755670
30017;17228;44699016
30112;17228;44833912
30083;17228;44833428
30084;17228;44891579
30027;17228;44865183
30029;17228;44873021
30003;17228;44755876
30114;17228;44777598
30090;17228;44971881
30050;17228;44887834
30048;17228;44896255
30179;17228;45072627
30015;17228;44911095
30099;17228;45009839
30113;17228;44920213
30013;17228;44752854
30032;17228;44915745
30084;17228;44985717
