time;points;states
30012;17220;2572400
30030;17121;2568800
30013;17136;2585600
30008;17138;2580800
30018;17105;2581600
30020;17176;2568200
30015;17135;2574200
30021;17177;2588000
30017;17152;2576800
30010;17154;2581600
30022;17116;2573000
30010;17110;2573000
30014;17081;2575400
30001;17152;2579000
30009;17178;2583800
30030;17148;2584800
30000;17183;2586800
30010;17147;2588000
30019;17141;2570600
30008;17115;2590000
30020;17160;2583600
30013;17150;2591800
30010;17145;2586000
30013;17113;2586200
30004;17115;2584400
30013;17141;2588000
30008;17135;2585200
30029;17141;2587600
30003;17149;2575800
30018;17136;2588400
