time;points;states
10000;17100;2875908
10000;17125;2903514
10001;17159;2906148
10001;17132;2908710
10000;17151;2905988
10001;17176;2903002
10000;17165;2907057
10001;17107;2905499
10002;17145;2898682
10000;17170;2902443
10000;17167;2900709
10001;17154;2900042
10001;17175;2910374
10000;17122;2905547
10000;17156;2909211
10001;17107;2901871
10002;17107;2902791
10000;17180;2903031
10000;17170;2902891
10001;17165;2899104
10000;17144;2905005
10000;17104;2906972
10000;17117;2906243
10000;17135;2900708
10001;17099;2897684
10000;17116;2903362
10000;17138;2899114
10000;17144;2899526
10000;17122;2904796
10000;17184;2896692
