time;points;iterations
0.311;15680;6
0.939;16152;16
1.619;16838;15
1.745;16352;14
1.464;16476;18
0.865;16636;12
0.746;16776;13
0.706;16237;15
0.830;16622;19
0.366;15622;8
0.668;16202;15
0.504;16269;11
0.477;16328;11
0.739;16817;17
0.566;16403;13
0.696;16099;16
0.265;15609;5
0.532;16846;12
0.755;15667;18
0.601;16799;13
0.522;16205;12
0.683;16120;15
0.687;16904;16
0.659;15662;14
0.541;16869;12
0.712;16406;8
0.853;16125;12
0.614;16647;12
0.760;16357;12
1.226;16817;13
0.684;16465;12
0.654;16455;15
0.893;16129;20
0.460;16122;10
1.054;16420;17
1.025;16163;14
1.425;16434;18
0.962;16619;12
1.185;15555;13
1.158;16762;12
0.704;16782;7
1.227;16902;13
1.313;16349;17
0.785;16771;13
1.280;16745;18
0.817;16272;18
0.394;15978;8
0.847;16217;15
0.458;15951;8
0.799;15595;12
0.461;16293;9
0.629;16581;14
0.636;16720;15
0.518;16183;12
0.472;15851;11
0.453;16203;10
0.335;16229;8
0.448;16139;10
0.671;16226;14
0.604;15690;13
0.662;16671;13
0.648;15961;13
0.929;16280;21
0.539;15841;9
0.814;16918;12
1.155;16462;21
1.602;16330;15
1.430;16240;15
0.891;16138;12
1.155;16751;14
0.653;15514;7
0.683;15350;8
1.034;15817;13
1.048;16657;13
0.922;16078;10
1.579;15825;14
1.390;16880;13
0.966;16271;13
2.094;16155;19
1.148;15807;17
0.352;16947;8
0.618;16651;13
0.802;16769;15
0.658;16090;11
0.558;16068;12
0.788;16335;18
0.788;16343;19
0.510;16809;12
0.607;16552;14
0.543;15639;12
0.656;16739;15
0.494;15865;11
0.472;16799;11
0.650;16089;15
0.725;16332;17
1.054;16927;22
1.066;16241;18
0.735;16206;14
0.543;16063;11
1.553;16173;18
1.702;15642;14
1.298;16199;16
1.044;15742;12
1.031;16759;13
0.922;16323;11
1.204;16239;15
0.819;16661;13
0.918;16476;9
1.371;16158;14
0.925;16781;12
1.495;16410;21
0.525;15703;7
1.109;16950;12
1.018;16378;16
0.822;15535;18
0.622;16909;14
0.776;16945;18
0.318;15911;7
0.605;16863;13
0.639;16065;15
0.609;16176;14
0.618;16919;14
0.601;15684;14
0.600;16684;14
0.817;16240;18
0.472;15684;9
0.581;16116;9
0.772;16506;16
0.950;16774;15
1.070;15769;13
1.703;16354;16
0.663;15954;8
1.096;16102;14
1.422;15740;17
1.226;16293;16
0.905;16710;11
1.143;16774;14
0.926;15644;16
0.558;15966;12
0.722;16724;16
0.972;16603;14
2.083;16357;16
1.918;16212;18
0.943;16285;16
0.780;15692;14
0.525;16817;10
0.988;16337;20
0.905;16219;18
0.305;16154;6
0.724;15864;16
0.657;16250;15
0.677;15919;15
0.642;16667;14
0.885;16776;16
0.677;16305;11
0.763;16854;14
0.623;16692;12
1.420;16394;18
0.946;16359;12
1.414;16879;17
1.180;16349;14
0.985;16794;12
1.125;16532;14
1.016;16140;13
0.820;16261;17
0.622;16624;14
0.915;16788;17
0.577;16863;11
0.554;16826;11
0.604;15959;12
0.775;16831;12
0.719;16736;14
1.099;16485;15
1.170;16815;15
2.611;16087;11
1.710;16706;16
1.378;16317;14
1.673;16870;16
1.408;16820;12
1.213;16354;12
1.355;16321;15
1.166;15798;15
1.065;16171;15
1.259;16912;17
1.176;16818;19
0.508;16228;9
0.882;16564;13
0.647;16256;7
0.965;16154;12
1.421;16763;13
1.873;16237;18
1.246;16266;14
1.182;16330;13
0.816;17016;15
0.805;16761;16
0.740;16338;16
0.537;15689;11
0.594;16929;14
0.878;16375;14
1.030;16333;11
1.598;16373;15
1.564;16571;16
1.052;16198;11
1.102;15706;13
0.768;16159;9
1.265;16724;16
1.097;16161;12
1.125;16332;13
1.661;16699;15
0.558;16677;11
0.619;15855;11
0.730;16418;14
1.143;16169;12
1.853;16472;19
1.052;16647;15
0.835;16292;12
1.083;15659;18
1.005;16732;12
0.906;16182;14
1.067;16827;13
1.165;16625;15
2.010;16957;20
1.407;16843;17
1.558;16740;21
0.699;16121;8
1.332;16571;15
1.588;16684;18
1.395;16191;20
0.989;15975;15
0.817;16657;16
0.502;15544;10
0.621;16255;13
0.710;16872;17
0.960;16852;17
0.724;16831;13
1.023;16827;19
0.606;15602;12
0.596;16331;12
0.544;16962;12
0.694;16915;15
0.915;16928;20
1.088;16971;19
0.936;16391;14
0.844;16894;13
0.964;16343;15
0.618;16390;13
1.407;16362;19
0.745;16674;15
0.685;15703;11
1.156;16391;18
1.083;16335;14
1.113;16334;14
1.470;16670;18
1.151;16418;14
1.085;16201;13
1.390;16894;15
1.139;16316;16
1.270;16232;17
1.392;16377;17
1.266;16025;13
0.849;16227;9
0.791;15713;11
1.552;16473;16
0.766;16800;16
0.455;16600;9
0.548;16836;11
0.424;16644;9
0.436;15287;9
0.490;16837;12
0.439;16126;10
1.141;16318;9
0.868;16514;13
1.602;16360;19
1.494;16216;13
1.283;16258;15
1.064;16811;14
1.452;16195;16
0.869;15256;8
1.109;16080;14
1.884;16610;21
1.059;16302;13
0.946;15657;10
1.118;16780;11
1.181;16211;11
1.025;15988;8
1.780;16884;17
0.844;16369;12
1.197;16822;14
