time;points;states
5002;17069;2802144
5000;17026;2804075
5000;17078;2792952
5001;17069;2809835
5001;17042;2798233
5000;17085;2447378
5001;17104;2395045
5000;17069;2879816
5001;17084;2893920
5001;17017;2897923
5000;17065;2889818
5000;17087;2898813
5000;17043;2870717
5001;17016;2906927
5002;17042;2902165
5000;17070;2908499
5000;17111;2894621
5002;17036;2902324
5001;17069;2910820
5000;17073;2903366
5002;17055;2896755
5000;17040;2881566
5000;17112;2907128
5000;17094;2900644
5000;17037;2906761
5002;17027;2900246
5002;17121;2906285
5002;17056;2905341
5001;17041;2895444
5001;17022;2905283
