time;points;iterations
254.837;23337;97
267.763;23326;97
310.468;23319;105
476.595;23364;105
214.258;23322;90
214.207;23300;99
314.475;23312;95
221.711;23321;94
359.668;23328;85
202.520;23299;92
307.124;23295;106
229.370;23378;105
296.487;23360;117
188.497;23279;87
270.521;23330;108
131.632;23333;82
324.951;23329;104
273.401;23336;99
166.546;23283;92
125.879;23303;79
275.961;23324;95
322.104;23301;103
246.402;23309;99
260.682;23318;98
246.935;23339;95
366.071;23320;93
268.495;23321;92
236.783;23337;97
239.305;23358;106
427.151;23317;104
229.693;23345;92
238.793;23312;103
349.208;23350;92
409.285;23329;112
195.029;23282;94
176.724;23310;81
201.067;23288;90
286.225;23339;94
217.588;23309;96
210.839;23352;104
155.557;23287;99
342.289;23352;117
222.295;23308;94
304.421;23357;113
292.691;23305;95
434.645;23321;111
288.145;23369;97
363.704;23309;112
190.893;23279;93
266.686;23269;108
292.555;23349;89
164.680;23273;89
173.344;23325;95
187.180;23300;116
182.890;23346;93
265.502;23295;102
214.497;23312;91
176.230;23254;83
116.846;23282;88
241.722;23384;106
299.907;23268;112
279.107;23306;99
209.178;23312;96
256.207;23341;109
227.735;23314;110
197.682;23313;96
213.265;23313;101
269.550;23299;92
397.485;23333;99
236.835;23237;104
176.989;23282;93
464.155;23332;100
211.578;23306;100
137.511;23353;111
292.379;23291;97
199.853;23314;98
246.629;23303;89
296.323;23315;99
173.554;23318;102
380.585;23330;88
365.485;23347;100
201.318;23293;104
251.301;23299;102
213.416;23308;96
163.490;23306;96
235.511;23362;103
310.428;23289;88
247.695;23311;128
233.855;23350;99
501.170;23263;100
174.053;23328;90
196.952;23296;103
266.315;23316;96
169.174;23325;92
268.376;23309;103
254.808;23334;101
213.453;23299;110
271.219;23335;102
362.005;23331;97
151.112;23305;95
218.480;23341;93
232.035;23258;119
333.299;23305;99
169.567;23305;87
230.273;23284;91
232.267;23276;95
216.512;23335;108
189.791;23251;96
119.808;23265;103
339.765;23318;107
188.443;23304;99
189.319;23322;83
251.165;23358;106
190.357;23329;107
284.608;23291;80
149.432;23340;90
352.128;23348;109
246.947;23316;93
244.627;23319;101
450.418;23346;118
143.180;23275;89
177.310;23243;98
159.381;23305;94
225.194;23270;90
191.170;23292;98
251.550;23341;94
152.754;23312;109
176.907;23367;93
210.725;23321;107
259.039;23341;96
301.428;23346;113
279.186;23332;112
301.012;23324;102
310.037;23363;88
306.294;23345;103
219.146;23282;99
297.392;23340;100
219.783;23336;84
304.468;23334;98
239.488;23311;103
322.884;23315;102
233.200;23322;97
212.471;23322;97
333.656;23359;106
241.128;23294;105
339.582;23332;104
217.313;23354;94
369.026;23349;109
310.749;23369;113
274.020;23306;94
258.629;23359;108
367.189;23303;97
214.391;23312;90
240.540;23304;90
313.672;23361;110
248.438;23337;106
170.084;23306;99
328.897;23317;103
297.276;23316;87
259.074;23325;94
246.146;23311;82
255.163;23260;90
200.672;23284;93
139.772;23322;96
462.798;23318;99
218.971;23341;93
239.219;23370;118
372.919;23316;106
418.677;23322;100
342.475;23324;95
380.677;23304;90
191.263;23248;105
329.456;23307;89
203.411;23309;96
531.862;23364;97
276.682;23338;98
157.694;23277;88
274.282;23295;93
273.381;23315;95
210.859;23305;99
216.305;23317;113
143.699;23246;85
214.860;23262;103
237.463;23352;94
156.251;23299;75
200.683;23270;94
171.246;23277;97
261.744;23342;90
172.282;23340;91
367.513;23342;101
291.396;23325;83
299.847;23341;97
329.893;23340;93
314.590;23361;106
242.114;23361;102
267.761;23340;89
186.885;23314;97
256.831;23282;92
272.622;23322;100
472.507;23351;108
158.991;23313;108
397.370;23347;98
403.601;23311;108
234.291;23306;104
335.404;23360;98
370.135;23326;98
165.378;23318;91
255.310;23283;99
240.684;23361;100
168.125;23293;96
328.948;23319;84
205.923;23303;106
183.574;23326;98
201.978;23374;107
293.578;23271;100
377.481;23331;102
190.195;23286;98
355.253;23332;107
204.036;23242;104
261.562;23281;111
106.227;23250;80
278.134;23318;97
191.587;23263;90
232.447;23325;94
299.072;23306;116
397.312;23382;107
266.022;23350;104
423.791;23349;105
151.759;23316;80
153.626;23362;83
207.419;23303;104
311.462;23336;102
290.616;23369;92
201.671;23285;94
267.929;23353;108
179.041;23315;97
367.945;23330;101
216.627;23301;86
358.029;23334;101
161.249;23304;82
293.515;23311;97
231.208;23308;96
155.367;23317;88
192.185;23357;83
281.213;23365;100
226.053;23296;106
220.765;23363;103
151.480;23305;83
228.776;23333;99
172.993;23326;102
302.243;23334;94
244.984;23289;94
278.848;23311;96
155.427;23208;90
150.830;23216;98
270.307;23277;108
300.425;23355;94
212.827;23321;90
256.992;23329;102
223.151;23355;89
267.400;23315;95
241.024;23317;94
282.625;23359;99
232.534;23302;92
232.090;23318;95
153.435;23334;102
197.980;23309;96
237.962;23308;83
202.252;23336;95
316.739;23316;91
300.928;23346;102
245.642;23326;105
245.526;23360;106
130.690;23254;85
253.843;23280;99
225.688;23350;93
250.690;23323;88
373.989;23289;101
345.670;23305;115
281.808;23326;102
201.957;23317;107
360.759;23337;105
179.237;23279;108
206.950;23256;84
170.211;23337;95
582.147;23331;94
235.684;23336;99
348.122;23324;90
248.354;23326;96
310.910;23374;116
226.367;23309;82
217.874;23319;89
229.304;23308;100
232.868;23312;95
254.447;23313;92
327.224;23324;83
279.114;23307;101
395.771;23299;101
293.704;23323;95
243.451;23350;111
427.078;23298;109
248.673;23315;102
205.147;23322;94
199.611;23271;105
110.391;23312;91
251.184;23309;88
342.660;23261;101
363.260;23322;100
258.171;23349;109
374.820;23360;108
275.112;23299;105
183.319;23316;97
282.755;23340;110
197.142;23316;110
365.640;23300;103
259.181;23346;115
258.803;23307;109
234.544;23311;114
333.136;23352;86
278.585;23335;103
333.344;23364;99
196.028;23329;100
125.718;23335;82
541.862;23352;108
303.004;23304;102
344.411;23307;107
220.765;23344;97
143.707;23296;88
283.691;23339;93
307.457;23267;97
229.427;23282;107
151.672;23322;94
406.357;23320;105
211.791;23336;97
217.796;23307;101
537.782;23353;100
487.610;23370;118
278.555;23314;97
195.406;23320;99
304.572;23299;95
185.487;23342;90
211.947;23300;107
342.109;23341;102
349.785;23329;111
178.929;23287;88
232.083;23334;104
255.329;23312;109
184.300;23273;99
270.902;23322;107
238.486;23354;87
242.219;23331;103
271.187;23330;102
193.580;23306;92
153.128;23289;81
262.561;23351;90
420.221;23350;108
271.754;23337;121
204.619;23305;77
240.019;23309;99
174.522;23302;83
301.177;23291;96
202.766;23332;91
223.687;23341;88
237.464;23365;82
186.871;23327;109
208.456;23288;102
341.647;23384;104
207.302;23308;100
206.735;23321;94
246.291;23350;102
195.379;23279;100
442.760;23351;120
296.070;23346;101
196.545;23313;91
232.706;23267;95
222.198;23339;93
305.800;23370;101
198.969;23313;108
376.614;23301;100
231.465;23278;86
464.690;23358;118
421.607;23340;103
242.445;23287;106
267.576;23294;105
121.878;23321;82
380.904;23363;108
153.598;23300;82
244.134;23314;88
308.807;23303;92
353.086;23321;97
218.463;23306;88
131.267;23339;95
405.785;23364;101
317.192;23315;95
401.661;23318;115
308.317;23347;100
243.126;23313;91
264.993;23350;95
239.907;23341;98
372.029;23350;113
239.020;23308;92
206.941;23358;109
189.971;23255;94
306.356;23313;103
354.085;23335;107
247.116;23337;102
151.852;23266;103
241.205;23332;103
198.334;23328;92
193.353;23318;81
212.415;23334;105
239.358;23337;91
199.976;23269;111
352.777;23350;103
326.071;23311;101
175.821;23302;101
310.500;23325;103
446.863;23382;115
116.098;23233;93
297.966;23355;107
211.413;23312;92
328.643;23330;95
330.452;23365;98
302.433;23382;99
171.369;23309;97
310.936;23308;90
273.872;23332;94
202.485;23307;93
268.273;23319;84
139.074;23317;93
297.134;23346;94
360.499;23349;104
292.076;23358;86
326.542;23311;101
225.163;23342;91
212.273;23305;105
224.203;23320;96
243.965;23322;98
314.557;23326;106
129.009;23321;86
392.237;23352;100
243.860;23311;86
222.770;23316;103
167.634;23242;79
371.344;23345;103
328.910;23307;95
219.778;23293;79
192.698;23273;101
215.965;23325;100
235.677;23311;101
286.108;23306;96
200.769;23342;89
148.008;23295;92
98.490;23290;85
394.223;23330;110
197.991;23256;84
274.343;23325;100
227.086;23292;105
185.462;23271;108
266.508;23292;77
221.200;23288;109
356.835;23347;128
195.964;23288;91
250.781;23291;98
250.247;23305;96
190.083;23323;84
210.393;23310;81
233.333;23299;104
260.154;23285;116
407.926;23332;104
273.956;23263;104
248.855;23320;81
256.457;23309;85
282.392;23350;112
148.972;23304;97
153.201;23308;89
393.993;23351;108
169.696;23326;83
248.350;23306;89
241.976;23318;106
146.167;23329;100
139.008;23328;94
326.353;23384;114
475.127;23309;92
207.799;23305;99
214.773;23302;87
278.598;23309;91
231.048;23318;109
293.183;23306;92
249.282;23295;114
342.562;23345;95
208.138;23283;79
216.029;23370;90
111.651;23289;86
346.337;23349;104
251.519;23285;73
240.038;23332;95
271.708;23342;90
454.654;23366;105
130.709;23301;86
256.186;23323;87
252.245;23306;100
134.068;23352;87
236.876;23346;95
185.550;23319;95
142.645;23273;94
199.867;23324;98
196.519;23289;94
259.324;23305;94
140.819;23281;100
380.686;23350;105
341.835;23336;112
279.899;23289;103
288.037;23324;108
226.139;23281;99
260.801;23353;99
242.862;23349;89
285.063;23336;88
210.500;23279;87
317.177;23319;83
335.612;23282;100
156.004;23207;87
146.444;23307;77
255.839;23310;92
335.585;23357;96
189.173;23272;93
512.821;23350;94
366.259;23341;102
293.235;23367;102
181.916;23331;104
317.467;23312;90
289.312;23311;101
255.992;23314;108
188.173;23291;106
214.970;23264;86
325.877;23298;92
411.891;23319;94
288.255;23350;89
265.722;23330;106
235.931;23315;103
644.382;23353;123
241.752;23327;108
239.983;23341;96
301.350;23355;99
209.528;23331;98
351.041;23322;99
357.984;23314;114
242.472;23320;94
217.273;23323;100
412.901;23305;106
299.458;23284;106
159.600;23294;86
182.851;23296;93
183.524;23300;94
239.104;23333;82
269.351;23328;88
274.441;23304;108
205.525;23267;95
508.608;23350;110
139.536;23328;93
219.324;23260;93
199.571;23266;96
333.328;23298;95
141.882;23306;98
175.277;23337;80
457.283;23330;112
197.127;23292;74
190.473;23329;107
308.581;23270;105
298.618;23349;99
342.929;23293;96
313.187;23346;110
374.835;23350;107
188.916;23313;91
256.086;23307;105
376.445;23342;103
321.544;23303;100
272.080;23318;114
238.160;23343;117
253.868;23305;88
183.868;23309;102
213.352;23316;94
223.496;23310;98
317.192;23331;88
255.510;23357;94
201.285;23317;91
262.484;23329;97
204.919;23294;104
253.725;23350;101
347.531;23320;110
232.105;23322;86
208.648;23309;89
197.343;23348;95
343.060;23307;95
231.568;23211;93
246.788;23313;97
161.174;23327;86
220.813;23343;86
244.253;23307;100
289.845;23299;91
413.129;23327;98
230.304;23306;103
151.094;23305;82
293.241;23347;94
309.305;23277;106
224.758;23307;106
237.903;23318;92
518.299;23324;110
243.361;23314;104
262.431;23289;106
212.197;23305;95
159.940;23306;94
366.059;23333;100
440.794;23312;103
387.205;23365;107
219.424;23297;105
273.996;23349;103
316.077;23261;102
374.144;23332;110
226.977;23234;80
414.920;23374;89
259.594;23301;93
198.968;23355;88
213.351;23258;91
238.497;23308;106
262.132;23342;96
186.568;23347;86
241.719;23310;104
235.806;23335;91
353.511;23355;103
246.244;23225;91
211.155;23316;94
301.199;23366;115
332.400;23324;87
144.287;23267;90
181.066;23265;86
258.694;23284;95
189.045;23255;93
123.650;23260;102
178.256;23309;97
216.413;23299;89
155.883;23297;81
203.318;23295;103
255.448;23365;114
312.428;23333;106
421.944;23353;117
