time;points;states
5006;17102;413000
5006;17041;413800
5022;17104;414600
5016;17068;411600
5001;17104;413600
5034;17097;408200
5033;17097;352400
5012;17074;410400
5001;17079;425800
5022;17101;425600
5001;17085;426600
5027;17076;419000
5001;17074;427600
5014;17051;425200
5003;17098;423600
5014;17066;429800
5000;17044;422800
5006;17101;424600
5006;17071;424400
5019;17139;429000
5009;17072;426200
5024;17067;433800
5003;17131;427400
5002;17066;423600
5004;17064;428400
5014;17125;427800
5003;17077;429600
5012;17161;429000
5004;17143;425200
5003;17060;427600
