time;points;iterations
263.334;23319;106
178.068;23315;91
124.707;23300;80
219.998;23338;107
268.955;23384;111
431.600;23315;119
245.008;23339;99
272.705;23323;99
426.196;23350;110
159.713;23256;115
348.424;23367;107
344.130;23315;99
335.112;23378;111
165.718;23260;96
291.007;23300;105
235.950;23286;98
263.257;23310;100
275.116;23309;97
315.457;23374;109
301.833;23361;104
178.712;23290;91
237.785;23318;94
259.122;23361;105
200.753;23326;111
264.600;23317;99
163.085;23290;105
180.806;23369;118
220.845;23312;121
232.974;23330;104
246.479;23267;87
268.238;23344;110
192.861;23312;107
147.274;23286;89
258.454;23288;104
237.976;23343;116
253.791;23358;108
342.924;23319;100
263.002;23346;101
150.371;23332;82
192.088;23335;94
271.837;23378;105
379.022;23345;112
264.614;23362;111
280.374;23330;103
325.329;23312;112
192.578;23275;103
416.191;23365;104
184.351;23268;92
329.540;23344;92
281.053;23338;96
178.713;23291;87
199.828;23307;94
397.057;23328;111
198.555;23326;108
481.441;23361;115
295.458;23322;109
361.623;23353;112
379.941;23358;109
150.441;23330;91
248.107;23340;93
275.989;23310;109
402.292;23346;118
380.358;23350;106
338.077;23329;109
240.046;23307;104
197.815;23318;100
264.680;23324;116
432.778;23350;98
186.461;23281;97
227.060;23347;109
267.275;23336;106
187.964;23330;102
287.375;23312;124
209.751;23308;95
242.077;23342;95
297.173;23344;115
297.056;23266;115
243.163;23347;106
191.036;23311;91
348.224;23333;105
630.828;23353;104
198.367;23286;95
189.751;23294;93
214.427;23312;88
194.595;23253;96
288.529;23338;101
217.677;23283;95
307.969;23337;96
450.901;23327;103
219.005;23289;108
402.060;23361;95
185.307;23348;97
368.171;23286;120
309.509;23330;97
180.171;23294;82
319.884;23341;100
320.808;23302;112
228.064;23262;98
322.142;23335;95
243.124;23312;101
317.429;23273;93
394.728;23336;101
228.110;23343;89
188.744;23289;96
237.865;23306;94
188.832;23310;101
174.219;23343;87
256.330;23326;89
356.527;23357;112
310.985;23306;100
179.685;23288;94
200.255;23355;87
313.461;23313;97
262.822;23357;114
273.214;23299;98
258.833;23307;96
243.754;23321;102
253.238;23310;97
296.608;23351;105
157.571;23248;94
177.313;23301;101
222.019;23315;92
222.688;23350;86
239.335;23314;111
292.999;23271;112
240.616;23365;103
266.389;23365;96
186.683;23316;115
188.119;23352;102
205.088;23211;84
336.406;23321;102
203.710;23352;94
279.254;23303;109
282.743;23209;91
300.302;23349;105
228.881;23329;98
368.828;23324;103
257.614;23294;108
239.643;23287;97
229.263;23306;94
107.416;23279;91
179.167;23277;88
202.939;23313;103
188.193;23316;98
181.298;23332;99
164.185;23262;86
132.711;23296;109
297.444;23363;102
348.499;23326;106
242.367;23330;116
124.378;23272;87
148.201;23273;97
337.175;23338;86
217.130;23337;100
263.507;23310;98
215.480;23305;96
191.693;23247;102
169.613;23295;103
406.092;23350;123
207.587;23285;102
243.888;23315;98
235.330;23328;102
244.915;23355;97
188.383;23325;94
207.307;23360;104
215.220;23303;87
223.575;23261;98
142.338;23170;88
301.263;23336;99
212.367;23333;98
282.046;23362;107
185.719;23330;87
317.567;23341;105
200.147;23297;112
171.987;23314;102
293.447;23331;103
162.620;23295;90
216.840;23282;92
292.940;23309;104
231.791;23304;106
186.824;23340;96
187.364;23330;88
176.139;23275;91
398.973;23332;103
180.738;23280;92
258.505;23338;99
238.013;23355;101
274.578;23312;87
261.601;23368;104
254.155;23320;94
141.839;23321;116
205.845;23319;96
243.300;23313;91
253.133;23278;86
187.331;23302;112
246.396;23321;108
187.650;23298;93
267.164;23315;106
247.695;23310;90
223.950;23293;105
324.459;23327;108
264.925;23291;105
276.688;23304;108
193.693;23355;96
446.288;23351;107
206.372;23310;104
325.353;23357;107
498.214;23382;100
237.806;23317;112
232.835;23317;109
314.844;23306;106
461.070;23353;101
208.724;23326;94
222.159;23340;93
198.570;23286;100
254.516;23315;110
203.661;23318;106
405.665;23313;101
408.865;23318;93
171.113;23271;90
359.073;23310;101
341.173;23321;98
254.555;23368;98
378.101;23295;116
324.065;23331;112
190.105;23309;93
229.920;23300;121
265.733;23320;107
448.375;23348;106
154.063;23299;89
238.170;23331;106
179.103;23330;86
353.554;23378;118
277.896;23306;98
195.502;23311;100
143.438;23249;98
141.875;23310;91
186.655;23306;98
397.942;23348;101
313.965;23384;82
343.647;23325;112
262.239;23290;89
158.913;23219;90
275.970;23318;107
262.910;23378;100
190.135;23234;94
240.486;23311;105
341.148;23301;107
309.757;23325;103
234.887;23338;101
237.141;23341;98
204.856;23374;97
132.413;23352;101
253.373;23315;110
202.575;23274;96
258.125;23341;87
231.447;23329;99
260.268;23302;102
290.463;23322;107
333.422;23339;100
192.320;23355;97
305.687;23340;107
351.835;23345;95
167.494;23330;101
183.432;23280;106
164.494;23333;101
236.917;23286;102
249.602;23315;101
397.493;23323;115
228.461;23329;95
418.410;23350;94
250.183;23268;99
263.678;23336;114
294.495;23312;109
310.025;23345;100
167.256;23280;101
165.688;23272;100
226.720;23303;94
326.310;23229;86
197.282;23329;104
263.757;23334;105
261.211;23301;105
324.516;23367;121
174.327;23334;91
122.371;23302;93
190.472;23298;97
284.122;23352;107
204.091;23320;104
130.221;23265;90
233.077;23303;109
166.451;23293;98
132.346;23336;96
353.480;23328;90
248.841;23340;89
232.072;23335;101
240.330;23347;103
184.193;23338;95
346.166;23310;97
276.841;23361;105
250.710;23302;102
187.862;23326;98
291.308;23330;106
108.996;23279;80
158.362;23301;96
337.726;23334;109
237.196;23350;90
279.488;23316;96
352.973;23340;106
180.559;23341;102
255.493;23303;90
205.058;23325;97
271.365;23324;102
128.659;23291;97
252.798;23341;107
276.511;23344;102
139.520;23278;99
260.537;23312;113
226.436;23285;93
140.109;23277;87
209.084;23349;93
309.297;23308;98
455.000;23309;93
280.663;23339;107
269.593;23363;105
267.426;23306;109
227.851;23305;103
196.489;23314;101
330.657;23331;102
314.481;23309;92
179.106;23250;99
303.064;23306;105
203.836;23289;102
539.516;23340;91
228.707;23321;105
285.011;23374;95
245.818;23294;99
202.961;23288;96
542.427;23308;124
204.424;23304;110
263.859;23336;89
313.336;23378;98
330.638;23362;107
227.351;23335;98
223.041;23317;101
327.650;23334;99
236.022;23336;103
321.352;23268;100
345.367;23320;111
212.889;23287;92
280.197;23298;100
276.132;23343;99
209.696;23277;107
218.480;23312;83
210.488;23326;101
163.942;23295;96
282.414;23353;107
234.299;23361;104
176.318;23301;107
