time;points;states
2002;17059;1106520
2000;17062;1116915
2002;17000;1116918
2001;17010;1108558
2001;17059;1113479
2001;16991;1108283
2001;17080;1124196
2000;17014;1129888
2000;17027;1108918
2002;17036;1110662
2002;17056;1117731
2000;17028;1110622
2001;17012;1113226
2000;17033;1104491
2001;17079;1108204
2002;17006;1106229
2000;17060;1087696
2001;17170;1095277
2001;17028;1087068
2001;16999;1089680
2000;17026;1092287
2000;17071;1092241
2000;17044;1094407
2001;16984;1097430
2001;17022;1125674
2000;17086;1128905
2000;17005;1126670
2002;17033;1125011
2000;17136;1127424
2001;17049;1119992
