time;points;states
60028;17164;5196400
60014;17128;5179600
60009;17153;5212200
60017;17154;5192600
60009;17185;5189800
60026;17176;5233600
60017;17128;5200000
60034;17192;5187600
60003;17140;5228800
60015;17124;5209400
60026;17142;5191800
60020;17111;5239600
60009;17228;5221200
60023;17124;5222200
60000;17129;5231800
60004;17184;5215600
60023;17165;5222000
60016;17138;5235800
60023;17170;5243400
60020;17122;5216200
60005;17156;5231800
60000;17151;5249000
60018;17179;5223800
60014;17160;5226400
60010;17166;5245800
60008;17138;5247000
60003;17228;5230200
60006;17169;5233200
60003;17170;5221800
60006;17192;5238600
