time;points;states
60368;17000;111162
60162;17013;111162
60111;17003;111162
60105;16971;111162
60607;16993;112308
60602;17093;112308
60083;16949;111162
60145;16984;111162
60547;17000;112308
60561;17053;112308
60597;16991;112308
60154;16927;112308
60113;17008;111162
60340;16975;112308
60383;16995;112308
60436;16913;112308
60286;16989;112308
60466;16913;112308
60388;17023;112308
60589;17021;112308
60486;16883;112308
60515;16945;112308
60359;16921;112308
60449;16948;112308
60525;16952;112308
60551;16895;112308
60210;16975;112308
60499;16892;112308
60294;16964;112308
60379;17025;112308
