variant;run;score;time_ms;avg_iterations;states
100_Restarts;1;23299;26445.045;29.03;23601
100_Restarts;2;23284;29122.360;29.58;25942
100_Restarts;3;23290;29080.548;29.38;24305
100_Restarts;4;23274;28942.865;28.81;29121
100_Restarts;5;23268;29142.027;29.3;23543
100_Restarts;6;23350;30114.288;29.95;25204
100_Restarts;7;23335;27326.179;29.03;27403
100_Restarts;8;23261;27928.996;29.42;20300
100_Restarts;9;23315;27994.625;29.26;24306
100_Restarts;10;23239;28032.883;29.43;26601
100_Restarts;11;23245;28040.665;29.24;25948
100_Restarts;12;23236;27820.451;29.13;22772
100_Restarts;13;23264;28276.013;29.66;21953
100_Restarts;14;23293;27941.687;29.27;29873
100_Restarts;15;23349;28500.190;29.91;22716
100_Restarts;16;23240;28269.772;29.61;25035
100_Restarts;17;23236;27754.628;29.1;27506
100_Restarts;18;23277;28111.350;29.53;27635
100_Restarts;19;23295;28291.030;29.65;26746
100_Restarts;20;23291;27987.925;29.33;26669
100_Restarts;21;23322;28345.227;29.5;24250
100_Restarts;22;23296;32176.063;29.66;21137
100_Restarts;23;23253;31209.684;29.29;22032
100_Restarts;24;23309;29472.165;29.47;28255
100_Restarts;25;23277;30312.668;29.67;20232
100_Restarts;26;23267;28309.905;29.63;24332
100_Restarts;27;23298;28280.840;29.36;28315
100_Restarts;28;23270;32455.106;29.29;25866
100_Restarts;29;23287;30068.957;29.39;25280
100_Restarts;30;23294;30357.249;29.38;29005
