variant;run;score;time_ms;iterations;states
standardFast;1;23091;226.179;33.0;4458
standardFast;2;23129;219.019;32.0;3694
standardFast;3;23048;308.061;33.0;4630
standardFast;4;23096;228.247;32.0;3932
standardFast;5;23030;230.981;32.0;4280
standardFast;6;23220;227.786;34.0;4124
standardFast;7;23121;245.493;33.0;4617
standardFast;8;23159;225.546;33.0;4311
standardFast;9;23105;230.013;32.0;4316
standardFast;10;23125;215.990;32.0;4034
standardFast;11;23265;238.888;34.0;4484
standardFast;12;23183;242.966;34.0;4557
standardFast;13;23179;231.038;33.0;4187
standardFast;14;23213;210.276;32.0;3911
standardFast;15;23215;222.478;32.0;4256
standardFast;16;22967;215.342;31.0;4045
standardFast;17;22976;228.335;32.0;4334
standardFast;18;23048;262.795;31.0;4038
standardFast;19;23025;224.313;32.0;4240
standardFast;20;23116;243.788;33.0;4461
standardFast;21;23157;211.841;33.0;3920
standardFast;22;23094;219.791;31.0;4187
standardFast;23;23181;225.338;33.0;4175
standardFast;24;22907;210.471;33.0;4094
standardFast;25;22995;236.923;33.0;4356
standardFast;26;23189;241.873;31.0;3599
standardFast;27;23062;234.590;32.0;3656
standardFast;28;23037;268.021;33.0;4705
standardFast;29;23192;269.100;34.0;4615
standardFast;30;23171;221.361;31.0;4034
