variant;run;score;time_ms;avg_iterations;states
1000_RestartsFast;1;17186;20437.476;25.367;2124
1000_RestartsFast;2;17154;20362.829;25.381;2734
1000_RestartsFast;3;17177;19741.874;25.158;2801
1000_RestartsFast;4;17160;25832.702;25.293;2207
1000_RestartsFast;5;17181;24525.840;25.234;2459
1000_RestartsFast;6;17155;25806.544;25.196;2383
1000_RestartsFast;7;17166;26773.387;25.25;2298
1000_RestartsFast;8;17139;22469.687;25.21;2428
1000_RestartsFast;9;17188;25954.672;25.329;2665
1000_RestartsFast;10;17186;26144.376;25.335;3312
1000_RestartsFast;11;17207;26591.455;25.168;2270
1000_RestartsFast;12;17147;23491.685;25.432;2589
1000_RestartsFast;13;17202;22180.017;25.296;2297
1000_RestartsFast;14;17159;22414.363;25.193;2480
1000_RestartsFast;15;17187;23145.906;25.105;1928
1000_RestartsFast;16;17181;25782.650;25.276;1634
1000_RestartsFast;17;17176;29957.392;25.375;2121
1000_RestartsFast;18;17181;28536.070;25.336;2374
1000_RestartsFast;19;17181;21802.993;25.282;2579
1000_RestartsFast;20;17165;27346.280;25.244;2546
1000_RestartsFast;21;17155;24846.741;25.333;3019
1000_RestartsFast;22;17186;24719.723;25.138;2861
