variant;run;score;time_ms;iterations;states
firstChoiceSwaps;1;17179;1164.018;51.0;0
firstChoiceSwaps;2;17137;779.948;56.0;0
firstChoiceSwaps;3;17153;264.832;55.0;0
firstChoiceSwaps;4;17192;398.364;47.0;0
firstChoiceSwaps;5;17226;252.730;60.0;0
firstChoiceSwaps;6;17145;381.229;37.0;0
firstChoiceSwaps;7;17174;475.948;55.0;0
firstChoiceSwaps;8;17199;225.331;58.0;0
firstChoiceSwaps;9;17226;482.026;58.0;0
firstChoiceSwaps;10;17170;588.849;59.0;0
firstChoiceSwaps;11;17133;315.529;35.0;0
firstChoiceSwaps;12;17202;537.267;52.0;0
firstChoiceSwaps;13;17217;334.198;37.0;0
firstChoiceSwaps;14;17198;448.682;56.0;0
firstChoiceSwaps;15;17222;499.635;66.0;0
firstChoiceSwaps;16;17165;459.408;51.0;0
firstChoiceSwaps;17;17207;365.358;62.0;0
firstChoiceSwaps;18;17132;304.822;55.0;0
firstChoiceSwaps;19;17150;232.306;52.0;0
firstChoiceSwaps;20;17140;362.488;79.0;0
firstChoiceSwaps;21;17201;404.769;53.0;0
firstChoiceSwaps;22;17191;303.375;56.0;0
firstChoiceSwaps;23;17226;340.107;59.0;0
firstChoiceSwaps;24;17190;209.675;47.0;0
firstChoiceSwaps;25;17179;216.988;45.0;0
firstChoiceSwaps;26;17228;365.913;40.0;0
firstChoiceSwaps;27;17217;372.812;53.0;0
firstChoiceSwaps;28;17196;384.534;48.0;0
firstChoiceSwaps;29;17168;453.370;55.0;0
firstChoiceSwaps;30;17228;240.160;43.0;0
