variant;run;score;time_ms;iterations;states
standard;177;23207;57.701;32.0;33
standard;178;23086;36.755;30.0;31
standard;179;23103;41.663;33.0;34
standard;180;22935;41.713;32.0;33
standard;181;23097;39.791;32.0;33
standard;182;22984;33.103;28.0;29
standard;183;22967;54.394;32.0;33
standard;184;23094;42.271;31.0;32
standard;185;22983;43.045;32.0;33
standard;186;22912;54.491;32.0;33
standard;187;23238;47.316;33.0;34
standard;188;23048;43.245;30.0;31
standard;189;23291;36.677;34.0;35
standard;190;23117;45.476;34.0;35
standard;191;23114;54.034;31.0;32
standard;192;23184;80.514;35.0;36
standard;193;23154;54.902;32.0;33
standard;194;23224;54.846;32.0;33
standard;195;23063;39.868;32.0;33
standard;196;23234;36.128;31.0;32
standard;197;23150;57.929;34.0;35
standard;198;23164;42.287;32.0;33
standard;199;23150;59.107;33.0;34
standard;200;23153;57.212;35.0;36
standard;201;23254;44.517;33.0;34
standard;202;23149;44.953;33.0;34
standard;203;22984;57.681;33.0;34
standard;204;23127;44.854;32.0;33
standard;205;23186;58.722;34.0;35
standard;206;23130;48.351;32.0;33
standard;207;23036;58.700;33.0;34
standard;208;23211;39.926;33.0;34
standard;209;23152;59.128;33.0;34
standard;210;23176;57.848;34.0;35
standard;211;23180;42.864;34.0;35
standard;212;23065;46.517;34.0;35
standard;213;22944;41.564;30.0;31
standard;214;23222;42.929;33.0;34
standard;215;22969;56.486;33.0;34
standard;216;23052;47.378;33.0;34
standard;217;23183;58.671;32.0;33
standard;218;23141;41.911;33.0;34
standard;219;23071;54.404;29.0;30
standard;220;22977;66.277;32.0;33
standard;221;23235;37.103;32.0;33
standard;222;23158;81.189;32.0;33
standard;223;23130;45.423;35.0;36
standard;224;23134;66.331;34.0;35
standard;225;23208;56.132;33.0;34
standard;226;23213;35.227;32.0;33
standard;227;23052;40.021;28.0;29
standard;228;23008;58.013;31.0;32
standard;229;23103;39.226;33.0;34
standard;230;23000;36.629;32.0;33
standard;231;23142;64.835;32.0;33
standard;232;23116;50.443;34.0;35
standard;233;23227;65.353;33.0;34
standard;234;22953;51.609;31.0;32
standard;235;23151;41.608;32.0;33
standard;236;23105;61.598;32.0;33
standard;237;23075;56.646;33.0;34
standard;238;23161;40.981;31.0;32
standard;239;23014;48.070;33.0;34
standard;240;23046;38.366;33.0;34
standard;241;22854;54.841;31.0;32
standard;242;23041;60.005;35.0;36
standard;243;23004;58.413;33.0;34
standard;244;23182;59.726;32.0;33
standard;245;23221;59.720;34.0;35
standard;246;23070;55.694;32.0;33
standard;247;23189;47.530;33.0;34
standard;248;23173;60.808;35.0;36
standard;249;23196;58.957;34.0;35
standard;250;23207;44.091;33.0;34
standard;251;23093;38.165;32.0;33
standard;252;23083;54.521;31.0;32
standard;253;23169;56.025;35.0;36
standard;254;23082;34.553;34.0;35
standard;255;22955;61.500;33.0;34
standard;256;23202;46.999;36.0;37
standard;257;23172;56.043;33.0;34
standard;258;23275;57.514;34.0;35
standard;259;23112;32.569;30.0;31
standard;260;23136;54.359;32.0;33
standard;261;23109;40.294;34.0;35
standard;262;23100;36.586;29.0;30
standard;263;23241;34.011;33.0;34
standard;264;22801;59.672;31.0;32
standard;265;23159;40.849;33.0;34
standard;266;23155;34.887;33.0;34
standard;267;23043;42.343;30.0;31
standard;268;22774;44.267;31.0;32
standard;269;23109;70.539;33.0;34
standard;270;23200;63.633;32.0;33
standard;271;23153;38.123;32.0;33
standard;272;23025;58.275;31.0;32
standard;273;23099;57.951;33.0;34
standard;274;23100;40.656;33.0;34
standard;275;23065;62.416;33.0;34
standard;276;23075;39.308;32.0;33
standard;277;23105;46.656;33.0;34
standard;278;23069;35.106;31.0;32
standard;279;23129;48.669;30.0;31
standard;280;23270;40.118;35.0;36
standard;281;22983;58.846;32.0;33
standard;282;23123;60.214;32.0;33
standard;283;23221;37.953;33.0;34
standard;284;23191;64.807;35.0;36
standard;285;23117;75.190;33.0;34
standard;286;23142;36.620;35.0;36
standard;287;23261;62.115;34.0;35
standard;288;22967;41.166;31.0;32
standard;289;23033;35.563;31.0;32
standard;290;23019;62.487;31.0;32
standard;291;23165;70.159;34.0;35
standard;292;23018;32.816;31.0;32
standard;293;23179;35.943;32.0;33
standard;294;22896;49.492;29.0;30
standard;295;23032;62.379;34.0;35
standard;296;23157;43.114;31.0;32
standard;297;23164;44.424;34.0;35
standard;298;23226;44.012;37.0;38
standard;299;23285;58.120;33.0;34
standard;300;23274;43.642;34.0;35
standard;301;23153;58.562;32.0;33
standard;302;23091;43.615;33.0;34
standard;303;23157;45.090;34.0;35
standard;304;23244;42.548;32.0;33
standard;305;23185;39.642;33.0;34
standard;306;23226;61.332;34.0;35
standard;307;23046;56.462;32.0;33
standard;308;23185;57.397;34.0;35
standard;309;23028;56.147;31.0;32
standard;310;23131;43.621;33.0;34
standard;311;22994;44.497;33.0;34
standard;312;22918;32.646;32.0;33
standard;313;22995;42.815;32.0;33
standard;314;23117;55.360;31.0;32
standard;315;23176;45.792;33.0;34
standard;316;23063;50.952;35.0;36
standard;317;23213;48.235;34.0;35
standard;318;23080;33.029;33.0;34
standard;319;23257;84.815;34.0;35
standard;320;23084;54.931;31.0;32
standard;321;23214;41.750;32.0;33
standard;322;23088;49.709;32.0;33
standard;323;23136;59.173;32.0;33
standard;324;23057;33.932;32.0;33
standard;325;23027;43.450;32.0;33
standard;326;22847;33.156;32.0;33
standard;327;22978;36.734;29.0;30
standard;328;23125;40.624;37.0;38
standard;329;23208;46.597;33.0;34
standard;330;22998;44.705;32.0;33
standard;331;22956;42.147;33.0;34
standard;332;23171;45.858;32.0;33
standard;333;23141;56.166;34.0;35
standard;334;23191;55.413;31.0;32
standard;335;23177;63.454;37.0;38
standard;336;23094;57.049;35.0;36
standard;337;23039;38.738;30.0;31
standard;338;22896;51.626;30.0;31
standard;339;23086;34.753;33.0;34
standard;340;23171;43.624;31.0;32
standard;341;23172;61.048;36.0;37
standard;342;23086;31.551;31.0;32
